InteractionID,UserID,SessionID,ProductID,TimeSpentSeconds,EngagementScore,ActionTaken,NextProductID
I02069,U1241,S0207,ms-1,180.0,0.5932,Rewatch,N/A
I02070,U1927,S0208,ms-1,192.74,0.6468,Rewatch,N/A
I02071,U0491,S0208,ms-5,129.81,0.99,Share,N/A
I02072,U1963,S0208,ec-6,16.48,0.1738,Exit,N/A
I02073,U1664,S0208,ec-5,31.32,0.1263,Exit,N/A
I02074,U1776,S0208,ms-4,26.85,0.6414,Next Product,ms-1
I02075,U1864,S0208,ec-1,29.2,0.4382,Next Product,ec-3
I02076,U0617,S0208,ms-2,70.13,0.4906,Exit,N/A
I02077,U1550,S0208,ms-4,208.7,0.85,Next Product,ms-1
I02078,U0899,S0208,ec-5,261.43,0.8978,Next Product,ec-1
I02079,U1617,S0208,ms-1,222.96,0.9502,Next Product,ms-4
I02080,U1007,S0209,ec-2,187.52,0.5225,Exit,N/A
I02081,U0682,S0209,ec-6,73.12,0.9591,Next Product,ec-4
I02082,U0329,S0209,ec-6,289.96,0.85,Next Product,ec-4
I02083,U1494,S0209,ec-3,26.13,0.1928,Exit,N/A
I02084,U0929,S0209,ec-6,237.36,0.8634,Next Product,ec-4
I02085,U1291,S0209,ec-2,236.84,0.65,Rewatch,N/A
I02086,U0821,S0209,ms-4,255.62,0.5866,Rewatch,N/A
I02087,U0169,S0209,ms-2,252.94,0.875,Next Product,ms-5
I02088,U1702,S0209,ec-5,34.56,0.1569,Exit,N/A
I02089,U1735,S0209,ec-4,180.94,0.4294,Rewatch,N/A
I02090,U0655,S0210,ec-2,92.12,0.9228,Share,N/A
I02091,U0534,S0210,ms-3,24.28,0.2013,Exit,N/A
I02092,U1694,S0210,ms-6,180.0,0.5588,Rewatch,N/A
I02093,U0849,S0210,ms-6,277.45,0.9157,Next Product,ec-4
I02094,U1812,S0210,ec-4,287.06,0.9113,Share,N/A
I02095,U1891,S0210,ec-3,275.94,0.65,Rewatch,N/A
I02096,U1858,S0210,ms-2,54.16,0.5766,Next Product,ms-6
I02097,U1437,S0210,ms-3,228.11,0.9207,Next Product,ms-2
I02098,U0306,S0210,ms-2,19.81,0.1,Exit,N/A
I02099,U0349,S0210,ec-4,25.84,0.1027,Exit,N/A
I02100,U1472,S0211,ec-3,92.5,0.9342,Next Product,ec-6
I02101,U1380,S0211,ec-2,217.69,0.9718,Next Product,ec-5
I02102,U1766,S0211,ms-5,37.12,0.2016,Exit,N/A
I02103,U1013,S0211,ec-1,247.48,0.9189,Next Product,ec-2
I02104,U1688,S0211,ms-5,180.0,0.5915,Rewatch,N/A
I02105,U0370,S0211,ec-1,226.79,0.65,Rewatch,N/A
I02106,U2000,S0211,ms-5,282.61,0.9358,Next Product,ms-3
I02107,U1194,S0211,ec-5,218.34,0.65,Rewatch,N/A
I02108,U0961,S0211,ms-3,22.53,0.5709,Exit,N/A
I02109,U1996,S0211,ec-6,108.19,0.9096,Share,N/A
I02110,U0786,S0212,ec-6,83.2,0.9425,Share,N/A
I02111,U0150,S0212,ms-2,134.31,0.9806,Share,N/A
I02112,U1907,S0212,ms-4,18.57,0.1394,Exit,N/A
I02113,U0726,S0212,ec-4,10.0,0.05,Rewatch,N/A
I02114,U1981,S0212,ec-4,180.0,0.65,Rewatch,N/A
I02115,U0011,S0212,ms-5,123.4,0.9615,Share,N/A
I02116,U0809,S0212,ec-5,10.42,0.1144,Exit,N/A
I02117,U1983,S0212,ec-3,16.42,0.1417,Exit,N/A
I02118,U0368,S0212,ms-5,22.71,0.0999,Exit,N/A
I02119,U1010,S0212,ms-6,60.48,0.4343,Rewatch,N/A
I02120,U0271,S0213,ms-2,259.26,0.8846,Next Product,ms-6
I02121,U0240,S0213,ms-6,284.79,0.9457,Next Product,ec-3
I02122,U1710,S0213,ms-5,197.78,0.5522,Exit,N/A
I02123,U0580,S0213,ms-5,251.49,0.563,Rewatch,N/A
I02124,U0541,S0213,ec-3,251.28,0.9447,Next Product,ec-6
I02125,U1007,S0213,ms-3,120.0,0.9481,Next Product,ms-2
I02126,U0902,S0213,ms-1,235.77,0.9295,Next Product,ms-4
I02127,U0964,S0213,ms-5,10.0,0.1395,Exit,N/A
I02128,U0957,S0213,ec-1,200.0,0.85,Next Product,ec-2
I02129,U0905,S0213,ms-6,10.0,0.5571,Exit,N/A
I02130,U1149,S0214,ec-2,138.64,0.9504,Share,N/A
I02131,U1475,S0214,ms-3,212.92,0.9827,Next Product,ms-5
I02132,U0370,S0214,ms-3,30.33,0.1042,Exit,N/A
I02133,U1685,S0214,ms-5,123.77,0.9588,Share,N/A
I02134,U0435,S0214,ec-4,51.88,0.662,Next Product,ec-3
I02135,U1571,S0214,ec-4,32.42,0.1239,Exit,N/A
I02136,U1886,S0214,ms-2,300.0,0.8736,Next Product,ms-6
I02137,U0674,S0214,ms-1,274.34,0.9889,Share,N/A
I02138,U0250,S0214,ec-1,94.7,0.9166,Next Product,ec-2
I02139,U0663,S0214,ms-3,284.67,0.9302,Next Product,ms-2
I02140,U0983,S0215,ec-2,252.53,0.5391,Rewatch,N/A
I02141,U1348,S0215,ms-1,300.0,0.85,Next Product,ms-4
I02142,U0928,S0215,ms-6,61.29,0.6013,Next Product,ec-6
I02143,U1858,S0215,ec-4,245.84,0.8988,Next Product,ms-6
I02144,U0580,S0215,ms-6,232.26,0.5503,Rewatch,N/A
I02145,U1121,S0215,ec-4,79.21,0.9484,Share,N/A
I02146,U0365,S0215,ms-4,20.63,0.0687,Rewatch,N/A
I02147,U1773,S0215,ec-1,226.83,0.9645,Next Product,ec-2
I02148,U1597,S0215,ec-1,297.65,0.9526,Next Product,ec-2
I02149,U0247,S0215,ms-5,146.31,0.9526,Share,N/A
I02150,U1652,S0216,ms-5,40.0,0.2527,Rewatch,N/A
I02151,U1236,S0216,ms-3,60.0,0.9566,Share,N/A
I02152,U0753,S0216,ec-3,252.59,0.8988,Next Product,ec-6
I02153,U0550,S0216,ec-4,29.92,0.1521,Exit,N/A
I02154,U0185,S0216,ec-1,17.65,0.1487,Exit,N/A
I02155,U1258,S0216,ms-3,136.14,0.9555,Share,N/A
I02156,U0083,S0216,ec-3,31.27,0.1361,Exit,N/A
I02157,U0950,S0216,ec-5,263.56,0.8595,Next Product,ec-1
I02158,U1015,S0216,ec-3,200.01,0.5397,Rewatch,N/A
I02159,U0596,S0216,ec-2,61.71,0.9251,Next Product,ec-5
I02160,U0305,S0217,ms-3,232.52,0.563,Rewatch,N/A
I02161,U0510,S0217,ec-3,124.19,0.932,Share,N/A
I02162,U1129,S0217,ms-2,25.58,0.1164,Rewatch,N/A
I02163,U1052,S0217,ms-2,121.18,0.9857,Share,N/A
I02164,U0952,S0217,ec-5,239.33,0.65,Rewatch,N/A
I02165,U0728,S0217,ms-5,25.32,0.1903,Exit,N/A
I02166,U1575,S0217,ec-3,25.75,0.0988,Exit,N/A
I02167,U1517,S0217,ec-5,107.4,0.9201,Share,N/A
I02168,U1727,S0217,ec-1,40.0,0.1333,Exit,N/A
I02169,U0853,S0217,ec-6,269.35,0.9194,Next Product,ec-4
I02170,U1373,S0218,ec-2,12.66,0.0551,Exit,N/A
I02171,U0543,S0218,ms-6,72.47,0.6324,Exit,N/A
I02172,U1785,S0218,ms-3,208.58,0.8982,Next Product,ms-4
I02173,U0532,S0218,ec-5,26.91,0.1521,Exit,N/A
I02174,U1095,S0218,ms-1,211.69,0.9674,Next Product,ms-4
I02175,U0978,S0218,ec-2,10.0,0.1731,Exit,N/A
I02176,U1780,S0218,ec-5,68.47,0.367,Exit,N/A
I02177,U1233,S0218,ec-6,140.45,0.9714,Share,N/A
I02178,U1995,S0218,ec-4,105.55,0.9065,Share,N/A
I02179,U1414,S0218,ec-5,32.44,0.2193,Exit,N/A
I02180,U0620,S0219,ms-2,267.14,0.9182,Next Product,ms-6
I02181,U0033,S0219,ec-6,68.95,0.4409,Rewatch,N/A
I02182,U1760,S0219,ms-1,239.83,0.9295,Next Product,ms-4
I02183,U0893,S0219,ec-5,78.57,0.344,Exit,N/A
I02184,U1104,S0219,ms-4,239.82,0.8825,Next Product,ms-1
I02185,U0865,S0219,ms-1,24.99,0.2054,Exit,N/A
I02186,U1849,S0219,ms-3,225.4,0.5224,Rewatch,N/A
I02187,U0994,S0219,ec-2,28.2,0.1542,Exit,N/A
I02188,U0921,S0219,ec-4,200.0,0.9548,Next Product,ms-6
I02189,U0803,S0219,ms-1,10.0,0.1163,Exit,N/A
I02190,U0211,S0220,ec-5,300.0,0.615,Rewatch,N/A
I02191,U0852,S0220,ec-2,184.74,0.65,Rewatch,N/A
I02192,U1136,S0220,ms-5,220.24,0.8923,Next Product,ms-3
I02193,U1485,S0220,ec-4,13.51,0.1628,Rewatch,N/A
I02194,U1854,S0220,ec-2,291.06,0.87,Next Product,ec-5
I02195,U1181,S0220,ms-6,60.0,0.9827,Share,N/A
I02196,U1328,S0220,ec-1,96.61,0.1007,Exit,N/A
I02197,U0240,S0220,ec-2,228.75,0.5054,Rewatch,N/A
I02198,U0919,S0220,ec-6,93.98,0.961,Share,N/A
I02199,U1488,S0220,ms-4,131.21,0.9,Share,N/A
I02200,U1040,S0221,ms-4,21.31,0.1607,Exit,N/A
I02201,U1403,S0221,ms-6,15.82,0.2366,Rewatch,N/A
I02202,U1748,S0221,ec-6,18.65,0.1479,Exit,N/A
I02203,U0269,S0221,ms-5,242.24,0.4909,Rewatch,N/A
I02204,U0854,S0221,ec-5,10.0,0.1286,Exit,N/A
I02205,U0738,S0221,ec-2,261.18,0.5163,Rewatch,N/A
I02206,U1274,S0221,ms-4,224.61,0.9663,Next Product,ms-1
I02207,U0265,S0221,ms-3,240.08,0.8945,Next Product,ms-2
I02208,U0852,S0221,ec-2,254.48,0.9585,Next Product,ec-5
I02209,U0038,S0221,ms-6,100.0,0.5241,Exit,N/A
I02210,U0732,S0222,ec-5,253.16,0.9894,Next Product,ec-1
I02211,U0066,S0222,ms-2,26.63,0.1291,Exit,N/A
I02212,U0234,S0222,ec-4,40.0,0.1693,Exit,N/A
I02213,U1151,S0222,ms-4,60.0,0.99,Next Product,ms-1
I02214,U1576,S0222,ms-1,194.67,0.4525,Rewatch,N/A
I02215,U1836,S0222,ms-3,100.0,0.4519,Rewatch,N/A
I02216,U1790,S0222,ec-3,21.33,0.1408,Exit,N/A
I02217,U0214,S0222,ec-6,287.62,0.8802,Share,N/A
I02218,U1637,S0222,ec-2,88.83,0.3622,Rewatch,N/A
I02219,U1548,S0222,ms-2,24.24,0.1122,Rewatch,N/A
I02220,U1601,S0223,ec-4,180.0,0.6148,Exit,N/A
I02221,U0209,S0223,ec-3,300.0,0.8757,Next Product,ec-6
I02222,U1784,S0223,ms-4,30.13,0.0812,Rewatch,N/A
I02223,U0322,S0223,ec-6,233.33,0.9334,Next Product,ec-4
I02224,U1501,S0223,ms-2,200.0,0.9191,Next Product,ms-4
I02225,U0252,S0223,ms-4,40.0,0.0717,Exit,N/A
I02226,U0852,S0223,ms-1,214.36,0.9236,Next Product,ms-4
I02227,U1035,S0223,ms-3,253.72,0.9083,Next Product,ms-2
I02228,U0739,S0223,ec-5,180.0,0.6348,Rewatch,N/A
I02229,U1544,S0223,ec-3,86.71,0.9866,Share,N/A
I02230,U1643,S0224,ec-1,80.66,0.9795,Share,N/A
I02231,U0940,S0224,ec-3,271.84,0.5033,Rewatch,N/A
I02232,U0061,S0224,ec-2,276.41,0.8536,Next Product,ms-1
I02233,U1933,S0224,ms-2,28.52,0.1762,Exit,N/A
I02234,U0645,S0224,ec-1,25.13,0.1312,Rewatch,N/A
I02235,U0337,S0224,ec-1,10.0,0.1859,Exit,N/A
I02236,U1555,S0224,ms-1,261.66,0.4339,Rewatch,N/A
I02237,U1849,S0224,ec-4,268.16,0.8904,Next Product,ec-3
I02238,U1353,S0224,ec-3,39.0,0.5966,Exit,N/A
I02239,U0859,S0224,ec-1,45.52,0.1267,Rewatch,N/A
I02240,U1436,S0225,ec-3,87.4,0.1602,Exit,N/A
I02241,U1478,S0225,ec-6,282.73,0.9055,Next Product,ec-1
I02242,U1844,S0225,ec-3,180.0,0.5415,Rewatch,N/A
I02243,U0828,S0225,ec-2,202.78,0.5172,Exit,N/A
I02244,U1279,S0225,ec-4,180.0,0.631,Rewatch,N/A
I02245,U1818,S0225,ec-5,40.0,0.1083,Exit,N/A
I02246,U0405,S0225,ms-5,291.99,0.9383,Next Product,ms-3
I02247,U1473,S0225,ec-6,51.06,0.3484,Next Product,ec-4
I02248,U1108,S0225,ms-5,245.03,0.9196,Next Product,ms-3
I02249,U0698,S0225,ec-5,24.7,0.1412,Exit,N/A
I02250,U0058,S0226,ec-3,29.46,0.1032,Exit,N/A
I02251,U0495,S0226,ms-5,16.37,0.178,Exit,N/A
I02252,U1035,S0226,ms-2,23.55,0.1986,Exit,N/A
I02253,U1724,S0226,ms-6,262.27,0.8924,Next Product,ms-5
I02254,U1550,S0226,ec-5,67.25,0.5796,Next Product,ec-1
I02255,U1173,S0226,ec-6,266.56,0.9371,Next Product,ec-4
I02256,U1528,S0226,ec-4,147.39,0.9373,Next Product,ec-3
I02257,U1093,S0226,ec-4,251.45,0.8693,Next Product,ec-3
I02258,U1670,S0226,ec-6,63.64,0.9597,Share,N/A
I02259,U0774,S0226,ec-3,191.03,0.5442,Rewatch,N/A
I02260,U1058,S0227,ec-4,298.53,0.99,Next Product,ec-3
I02261,U0301,S0227,ec-6,150.0,0.99,Share,N/A
I02262,U0189,S0227,ms-1,40.0,0.1718,Exit,N/A
I02263,U0267,S0227,ec-2,15.97,0.1,Exit,N/A
I02264,U0160,S0227,ms-6,38.96,0.1526,Exit,N/A
I02265,U0825,S0227,ec-4,103.78,0.9335,Share,N/A
I02266,U1786,S0227,ms-5,87.12,0.9615,Share,N/A
I02267,U0902,S0227,ec-6,18.34,0.4386,Exit,N/A
I02268,U1003,S0227,ec-6,100.0,0.5717,Exit,N/A
I02269,U1688,S0227,ms-3,38.64,0.1255,Exit,N/A
I02270,U0261,S0228,ec-2,180.0,0.65,Rewatch,N/A
I02271,U1443,S0228,ec-3,25.67,0.3458,Exit,N/A
I02272,U0242,S0228,ec-6,216.83,0.9633,Next Product,ec-4
I02273,U1934,S0228,ec-3,88.91,0.9402,Next Product,ec-6
I02274,U0837,S0228,ms-2,255.24,0.8761,Next Product,ms-6
I02275,U0314,S0228,ms-2,10.56,0.2185,Exit,N/A
I02276,U0767,S0228,ms-5,293.87,0.929,Next Product,ms-3
I02277,U1606,S0228,ec-4,107.56,0.9878,Next Product,ec-3
I02278,U0581,S0228,ms-4,254.7,0.899,Next Product,ms-1
I02279,U1122,S0228,ms-6,251.18,0.9897,Next Product,ms-5
I02280,U0635,S0229,ec-4,101.6,0.9299,Share,N/A
I02281,U0773,S0229,ec-2,225.88,0.6156,Rewatch,N/A
I02282,U0272,S0229,ms-3,116.09,0.9666,Share,N/A
I02283,U0922,S0229,ec-5,75.2,0.9731,Next Product,ec-1
I02284,U1639,S0229,ec-4,221.14,0.4788,Rewatch,N/A
I02285,U0477,S0229,ec-1,32.62,0.1273,Exit,N/A
I02286,U0094,S0229,ec-5,10.0,0.1,Exit,N/A
I02287,U1508,S0229,ms-5,212.73,0.6078,Exit,N/A
I02288,U1449,S0229,ms-1,74.08,0.9428,Share,N/A
I02289,U1449,S0229,ms-5,63.5,0.9795,Share,N/A
I02290,U1146,S0230,ms-2,300.0,0.99,Next Product,ms-6
I02291,U0109,S0230,ec-4,128.95,0.9759,Share,N/A
I02292,U1030,S0230,ms-1,200.0,0.9289,Share,N/A
I02293,U0369,S0230,ms-1,235.12,0.964,Next Product,ec-6
I02294,U1719,S0230,ec-4,150.0,0.9518,Share,N/A
I02295,U1243,S0230,ms-6,61.63,0.9318,Share,N/A
I02296,U1766,S0230,ms-1,256.08,0.932,Next Product,ms-4
I02297,U1082,S0230,ms-6,17.96,0.1187,Exit,N/A
I02298,U0187,S0230,ms-2,20.55,0.5712,Exit,N/A
I02299,U1110,S0230,ms-3,235.95,0.8855,Next Product,ms-2
I02300,U0316,S0231,ms-5,98.54,0.3244,Exit,N/A
I02301,U1390,S0231,ms-3,213.72,0.8718,Share,N/A
I02302,U0372,S0231,ms-1,180.0,0.5409,Rewatch,N/A
I02303,U0203,S0231,ms-6,300.0,0.9134,Next Product,ms-5
I02304,U1929,S0231,ms-2,252.0,0.8802,Next Product,ms-6
I02305,U0485,S0231,ec-2,98.15,0.9869,Share,N/A
I02306,U1945,S0231,ms-2,26.43,0.2566,Exit,N/A
I02307,U0652,S0231,ec-2,137.78,0.9474,Share,N/A
I02308,U0060,S0231,ec-1,215.77,0.65,Exit,N/A
I02309,U0039,S0231,ms-5,104.12,0.99,Share,N/A
I02310,U0208,S0232,ms-4,40.0,0.1398,Exit,N/A
I02311,U1335,S0232,ms-3,28.52,0.199,Exit,N/A
I02312,U0834,S0232,ec-2,273.03,0.958,Next Product,ec-5
I02313,U1983,S0232,ms-3,60.0,0.9245,Next Product,ms-2
I02314,U1101,S0232,ec-1,35.14,0.5822,Next Product,ec-2
I02315,U0086,S0232,ms-1,228.34,0.61,Exit,N/A
I02316,U1272,S0232,ms-5,38.68,0.1177,Exit,N/A
I02317,U0343,S0232,ms-1,260.95,0.99,Share,N/A
I02318,U0560,S0232,ec-4,244.72,0.9298,Next Product,ms-2
I02319,U1726,S0232,ec-5,270.69,0.9412,Next Product,ec-1
I02320,U0331,S0233,ec-6,26.63,0.2581,Exit,N/A
I02321,U0144,S0233,ms-5,231.48,0.9163,Next Product,ms-3
I02322,U1485,S0233,ec-3,52.58,0.3119,Rewatch,N/A
I02323,U1799,S0233,ec-1,21.27,0.125,Exit,N/A
I02324,U1034,S0233,ms-6,44.9,0.6455,Exit,N/A
I02325,U1937,S0233,ms-6,244.79,0.4,Exit,N/A
I02326,U1450,S0233,ec-2,36.84,0.2018,Exit,N/A
I02327,U1357,S0233,ms-6,251.23,0.9499,Next Product,ms-5
I02328,U0033,S0233,ec-6,265.86,0.9142,Share,N/A
I02329,U1247,S0233,ec-2,11.26,0.1984,Exit,N/A
I02330,U0020,S0234,ec-5,39.07,0.0896,Exit,N/A
I02331,U1139,S0234,ec-6,180.0,0.5363,Rewatch,N/A
I02332,U1103,S0234,ms-2,194.95,0.5645,Rewatch,N/A
I02333,U0159,S0234,ec-3,286.24,0.85,Next Product,ec-6
I02334,U1377,S0234,ms-2,147.44,0.9378,Share,N/A
I02335,U1695,S0234,ec-4,115.35,0.9686,Share,N/A
I02336,U1573,S0234,ec-6,72.06,0.4093,Next Product,ec-4
I02337,U0759,S0234,ms-4,20.16,0.1921,Exit,N/A
I02338,U0454,S0234,ec-6,218.46,0.85,Next Product,ms-5
I02339,U0733,S0234,ms-4,300.0,0.9004,Next Product,ms-1
I02340,U1471,S0235,ms-4,19.53,0.1833,Exit,N/A
I02341,U1012,S0235,ms-6,217.54,0.99,Next Product,ms-5
I02342,U1242,S0235,ms-4,39.46,0.1,Exit,N/A
I02343,U1682,S0235,ec-5,10.0,0.092,Exit,N/A
I02344,U1782,S0235,ms-5,65.64,0.9741,Share,N/A
I02345,U1131,S0235,ms-4,281.97,0.629,Rewatch,N/A
I02346,U1398,S0235,ec-4,92.91,0.9603,Share,N/A
I02347,U0263,S0235,ec-6,223.91,0.9749,Next Product,ec-4
I02348,U0467,S0235,ec-3,237.28,0.6273,Rewatch,N/A
I02349,U1737,S0235,ec-5,228.17,0.9116,Share,N/A
I02350,U1389,S0236,ec-3,32.25,0.2222,Exit,N/A
I02351,U1395,S0236,ec-3,18.92,0.189,Exit,N/A
I02352,U0005,S0236,ec-1,191.52,0.65,Exit,N/A
I02353,U0107,S0236,ms-6,87.56,0.9693,Next Product,ms-5
I02354,U1393,S0236,ec-3,26.66,0.2803,Exit,N/A
I02355,U0741,S0236,ec-3,229.2,0.4985,Exit,N/A
I02356,U0460,S0236,ms-1,269.19,0.9509,Next Product,ms-4
I02357,U0011,S0236,ec-1,245.28,0.8653,Next Product,ec-2
I02358,U0052,S0236,ec-6,234.16,0.9641,Next Product,ms-5
I02359,U1879,S0236,ms-4,250.94,0.9545,Next Product,ms-1
I02360,U1281,S0237,ms-2,35.88,0.1846,Exit,N/A
I02361,U0885,S0237,ms-1,108.19,0.9201,Share,N/A
I02362,U0685,S0237,ms-5,249.92,0.8933,Next Product,ms-6
I02363,U1705,S0237,ms-1,180.0,0.5516,Rewatch,N/A
I02364,U0485,S0237,ms-2,296.01,0.65,Rewatch,N/A
I02365,U1565,S0237,ms-2,285.74,0.5891,Rewatch,N/A
I02366,U0176,S0237,ms-1,85.03,0.2914,Exit,N/A
I02367,U0773,S0237,ms-6,100.0,0.3649,Exit,N/A
I02368,U1421,S0237,ms-2,267.45,0.65,Rewatch,N/A
I02369,U1644,S0237,ec-2,233.4,0.9073,Next Product,ec-5
I02370,U0209,S0238,ec-5,227.38,0.9391,Next Product,ec-6
I02371,U0823,S0238,ms-2,214.12,0.4,Rewatch,N/A
I02372,U1771,S0238,ec-4,234.13,0.65,Rewatch,N/A
I02373,U0929,S0238,ec-1,92.68,0.9447,Share,N/A
I02374,U1271,S0238,ec-4,223.82,0.9441,Next Product,ec-3
I02375,U0054,S0238,ec-2,79.87,0.9806,Share,N/A
I02376,U0222,S0238,ms-2,230.27,0.9371,Next Product,ms-6
I02377,U1722,S0238,ms-4,48.61,0.6333,Rewatch,N/A
I02378,U0259,S0238,ec-5,17.15,0.1579,Exit,N/A
I02379,U0728,S0238,ec-1,61.17,0.9475,Share,N/A
I02380,U0381,S0239,ms-4,259.58,0.9298,Next Product,ms-1
I02381,U1198,S0239,ec-1,139.08,0.99,Share,N/A
I02382,U0733,S0239,ms-5,31.71,0.2089,Exit,N/A
I02383,U1109,S0239,ms-3,40.0,0.0997,Exit,N/A
I02384,U0633,S0239,ec-4,253.92,0.8961,Next Product,ec-3
I02385,U1202,S0239,ec-5,253.71,0.5772,Rewatch,N/A
I02386,U1039,S0239,ec-3,25.45,0.4016,Exit,N/A
I02387,U0865,S0239,ms-6,213.62,0.9562,Next Product,ms-4
I02388,U1609,S0239,ms-2,222.27,0.9703,Next Product,ms-6
I02389,U0958,S0239,ec-4,22.63,0.1565,Exit,N/A
I02390,U1745,S0240,ec-4,24.99,0.2062,Exit,N/A
I02391,U0688,S0240,ec-4,300.0,0.8633,Next Product,ec-3
I02392,U1795,S0240,ms-1,71.42,0.9596,Next Product,ms-4
I02393,U1420,S0240,ms-4,75.51,0.978,Share,N/A
I02394,U0985,S0240,ec-6,263.76,0.4953,Rewatch,N/A
I02395,U1654,S0240,ec-6,77.09,0.9418,Share,N/A
I02396,U1692,S0240,ms-1,103.12,0.9594,Share,N/A
I02397,U0062,S0240,ec-3,200.0,0.8716,Next Product,ec-6
I02398,U1200,S0240,ms-6,237.88,0.8802,Next Product,ms-5
I02399,U0357,S0240,ms-4,10.0,0.1167,Exit,N/A
I02400,U1473,S0241,ms-3,241.24,0.9067,Next Product,ms-2
I02401,U0045,S0241,ms-3,233.32,0.5303,Exit,N/A
I02402,U0043,S0241,ec-5,258.99,0.8975,Next Product,ms-6
I02403,U0694,S0241,ms-4,277.13,0.8747,Next Product,ms-5
I02404,U1354,S0241,ms-3,96.19,0.3455,Exit,N/A
I02405,U1637,S0241,ec-4,61.79,0.4741,Exit,N/A
I02406,U1799,S0241,ec-6,25.27,0.1367,Exit,N/A
I02407,U0296,S0241,ms-3,217.79,0.5927,Rewatch,N/A
I02408,U0775,S0241,ec-6,114.93,0.9513,Share,N/A
I02409,U1303,S0241,ms-4,68.63,0.3364,Rewatch,N/A
I02410,U1563,S0242,ec-4,60.0,0.9751,Next Product,ec-3
I02411,U0305,S0242,ms-6,227.17,0.9255,Next Product,ms-5
I02412,U0259,S0242,ec-3,17.2,0.198,Rewatch,N/A
I02413,U1815,S0242,ec-2,241.35,0.9623,Next Product,ec-5
I02414,U1359,S0242,ec-4,263.06,0.8803,Next Product,ec-3
I02415,U1322,S0242,ec-3,115.06,0.9301,Share,N/A
I02416,U0367,S0242,ms-6,222.57,0.5193,Rewatch,N/A
I02417,U0990,S0242,ec-6,34.0,0.177,Rewatch,N/A
I02418,U0971,S0242,ms-5,99.08,0.9294,Share,N/A
I02419,U1620,S0242,ec-4,180.0,0.5636,Rewatch,N/A
I02420,U1833,S0243,ms-4,18.68,0.0561,Exit,N/A
I02421,U0481,S0243,ec-1,11.7,0.2313,Exit,N/A
I02422,U0871,S0243,ec-1,80.2,0.9825,Next Product,ec-2
I02423,U1128,S0243,ms-2,239.3,0.982,Next Product,ms-6
I02424,U0721,S0243,ms-4,36.67,0.1087,Exit,N/A
I02425,U0953,S0243,ec-3,10.0,0.0548,Exit,N/A
I02426,U0873,S0243,ec-2,16.91,0.2445,Exit,N/A
I02427,U0838,S0243,ms-6,203.58,0.5645,Rewatch,N/A
I02428,U0784,S0243,ms-1,289.1,0.9255,Next Product,ms-4
I02429,U0736,S0243,ms-2,252.28,0.9511,Next Product,ms-6
I02430,U0161,S0244,ms-5,58.67,0.3851,Rewatch,N/A
I02431,U0202,S0244,ms-2,255.5,0.892,Next Product,ms-6
I02432,U0403,S0244,ec-5,276.83,0.9299,Next Product,ec-3
I02433,U1400,S0244,ms-5,234.44,0.9627,Next Product,ms-3
I02434,U1752,S0244,ec-6,25.29,0.1758,Exit,N/A
I02435,U1869,S0244,ms-5,220.56,0.85,Next Product,ms-3
I02436,U1604,S0244,ec-1,30.54,0.0812,Rewatch,N/A
I02437,U1684,S0244,ec-4,180.0,0.506,Rewatch,N/A
I02438,U1340,S0244,ec-3,67.7,0.5142,Rewatch,N/A
I02439,U1949,S0244,ms-3,40.09,0.3675,Rewatch,N/A
I02440,U0467,S0245,ms-4,180.0,0.573,Rewatch,N/A
I02441,U0479,S0245,ec-3,138.69,0.9511,Share,N/A
I02442,U0960,S0245,ec-6,15.65,0.0566,Exit,N/A
I02443,U0698,S0245,ms-2,40.0,0.2021,Exit,N/A
I02444,U0385,S0245,ec-1,28.02,0.2239,Exit,N/A
I02445,U1430,S0245,ec-1,256.72,0.8934,Next Product,ec-2
I02446,U0768,S0245,ms-3,116.65,0.9251,Share,N/A
I02447,U1932,S0245,ec-6,220.13,0.9586,Next Product,ec-2
I02448,U0696,S0245,ms-4,70.82,0.9511,Share,N/A
I02449,U0827,S0245,ec-6,105.72,0.99,Share,N/A
I02450,U0048,S0246,ec-4,193.77,0.4,Exit,N/A
I02451,U0315,S0246,ms-6,68.53,0.9232,Share,N/A
I02452,U1872,S0246,ec-4,87.19,0.9186,Share,N/A
I02453,U0781,S0246,ms-4,74.66,0.2326,Rewatch,N/A
I02454,U0131,S0246,ec-3,145.97,0.9503,Share,N/A
I02455,U0674,S0246,ec-4,58.14,0.5741,Rewatch,N/A
I02456,U1309,S0246,ms-5,266.95,0.9045,Next Product,ms-3
I02457,U0066,S0246,ec-6,219.09,0.5429,Rewatch,N/A
I02458,U0408,S0246,ms-2,20.99,0.1606,Rewatch,N/A
I02459,U0791,S0246,ms-5,260.52,0.8578,Next Product,ms-3
I02460,U0932,S0247,ms-1,40.0,0.1705,Exit,N/A
I02461,U0023,S0247,ms-3,242.12,0.9311,Share,N/A
I02462,U0801,S0247,ms-3,77.91,0.18,Exit,N/A
I02463,U0265,S0247,ec-3,114.13,0.9,Share,N/A
I02464,U0797,S0247,ms-4,262.17,0.99,Next Product,ms-1
I02465,U1454,S0247,ec-5,60.0,0.9484,Share,N/A
I02466,U1924,S0247,ms-5,60.0,0.9232,Share,N/A
I02467,U1403,S0247,ec-2,200.0,0.928,Next Product,ec-5
I02468,U0132,S0247,ec-1,251.74,0.591,Rewatch,N/A
I02469,U0674,S0247,ec-4,22.09,0.3086,Exit,N/A
I02470,U0943,S0248,ec-2,69.64,0.99,Share,N/A
